FullName,ExecutiveTitle,Company,City,State,PostalCode,ISICDivision,IndustryDescription,Sales,Assets,Employees
Yin Xingfu,Independent Director,Bohai Ferry Company Limited,Yantai,Shandong,264000,50,Water transport,181363.1,571332.9,1275
Yin Xingfu,Vice Chairman of the Board,"China CYTS Tours Holding Co., Ltd",Beijing,Beijing,100007,79,"Travel agency, tour operator, reservation service and related activities",1721709,1431831,7504
Yin Xingman,Chairman of the Board,Xinzhi Motor Co Ltd,Taizhou,Zhejiang,318016,29,"Manufacture of motor vehicles, trailers and semi-trailers",252176.1,300640,2106
Yin Yanbin,Chairman,"Nanjing Goldenhighway International Supply Chain Management Co., Ltd.",Nanjing,Jiangsu,210018,46,"Wholesale trade, except of motor vehicles and motorcycles",79020.4,23130.1,60
Yin Yande,Independent Director,Shanghai Lujiazui Finance & Trade Zone,Shanghai,Shanghai,200127,41,Construction of buildings,830547.5,7357450,3524
Yin Yande,Independent Director,"Shanghai New World Co., Ltd.",Shanghai,Shanghai,200003,47,"Retail trade, except of motor vehicles and motorcycles",540934.3,840976.1,1235
Yin Yandong,Director,Hangzhou CNCR-IT Co Ltd,Hangzhou,Zhejiang,310052,26,"Manufacture of computer, electronic and optical products",37532,79272,649
Yin Yimin,Independent Director,Zibo Wanchang Science & Technology CoLtd,Zibo,Shandong,255068,20,Manufacture of chemicals and chemical products,51801.1,124098.4,238
Yin Yingzhu,Chairman,"Qinhuangdao Datianlong Foodstuff Co., Ltd.",Qinhuangdao,Hebei,66403,10,Manufacture of food products,819,2489.1,60
Yin Yong,Chairman of the Board,"Changsha Jiawo Engineering Machinery Co., Ltd.",Huanggang,Hubei,410114,46,"Wholesale trade, except of motor vehicles and motorcycles",35436.7,11729.4,30
Yin Youben,Chairman,"Danyang Honglei Cement Manufacture Co., Ltd.",Zhenjiang,Jiangsu,212312,23,Manufacture of other non-metallic mineral products,10753.8,2482.9,42
Yin Yushun,Director,Hakim Information Technology Co Ltd,Hangzhou,Zhejiang,310007,62,"Computer programming, consultancy and related activities",121104.9,201098.4,468
Yin Yushun,Director,Zhongxin Informatin Dev Inc Ltd Shanghai,Shanghai,Shanghai,200333,62,"Computer programming, consultancy and related activities",59785.1,68425.7,1159
Yin Zeng Ji,Director,Shandong Longlive Bio Technology Co Ltd,Dezhou,Shandong,251200,10,Manufacture of food products,122883.6,438171.3,986
Yin Zhe,Independent Director,Concord Medical Services Hldg Ltd (ADR),Beijing,Beijing,100013,86,Human health activities,98506,477263.9,601
Yin Zhe,Director,Concord Medical Services Holdings Limited,Beijing,Beijing,100013,86,Human health activities,98861.2,482075.2,601
Yin Zhen,Director,Hunan Tyen Machinery Co Ltd,Hengyang,Hunan,421005,29,"Manufacture of motor vehicles, trailers and semi-trailers",93809.8,178942,1555
Yin Zhenchuan,Director,"Hebei Special Cement Co., Ltd.",Shijiazhuang,Hebei,51230,23,Manufacture of other non-metallic mineral products,13096,399.5,932
